trial,condition,response,correct,fc,ft,Lt,timestamp
1,signal_interval=1,1,1,4000.0,1000.0,-40.00,2025-08-30 14:28:55
2,signal_interval=1,1,1,4000.0,1000.0,-42.00,2025-08-30 14:29:01
3,signal_interval=2,2,1,4000.0,1000.0,-44.00,2025-08-30 14:29:07
4,signal_interval=1,2,0,4000.0,1000.0,-46.00,2025-08-30 14:29:13
5,signal_interval=1,1,1,4000.0,1000.0,-44.00,2025-08-30 14:29:18
6,signal_interval=1,1,1,4000.0,1000.0,-44.00,2025-08-30 14:29:23
7,signal_interval=1,1,1,4000.0,1000.0,-45.00,2025-08-30 14:29:29
8,signal_interval=2,1,0,4000.0,1000.0,-45.00,2025-08-30 14:29:38
9,signal_interval=2,2,1,4000.0,1000.0,-44.00,2025-08-30 14:29:43
10,signal_interval=2,2,1,4000.0,1000.0,-44.00,2025-08-30 14:29:49
11,signal_interval=1,1,1,4000.0,1000.0,-45.00,2025-08-30 14:29:55
12,signal_interval=2,2,1,4000.0,1000.0,-45.00,2025-08-30 14:30:00
13,signal_interval=2,2,1,4000.0,1000.0,-46.00,2025-08-30 14:30:06
14,signal_interval=2,2,1,4000.0,1000.0,-46.00,2025-08-30 14:30:12
15,signal_interval=2,2,1,4000.0,1000.0,-47.00,2025-08-30 14:30:17
16,signal_interval=1,2,0,4000.0,1000.0,-47.00,2025-08-30 14:30:23
17,signal_interval=1,1,1,4000.0,1000.0,-46.00,2025-08-30 14:30:29
18,signal_interval=2,2,1,4000.0,1000.0,-46.00,2025-08-30 14:30:34
